,sentence,label
0,2.5 yıldır kızım için prima kullanıyorum ve gayet memnunum. kalitesi tartışılmaz. ayrıca hepsiburada'ya da  teşekkür ederim. güvenilir rahat alışveriş imkanınız ve sıparişlerinizi belirtiğiniz tarihler de teslim ettiğiniz için. ,1
1,ürün başlıkların girişleri hariç çok iyi. kullanımı ve gücü gayet iyi. ancak makinanın ucuna takılan aparatlarını takıp çıkarmada çok zorlanıyorum. belki şans benimki bilemem ama onun dışında güzel bir makina,1
2,"bugune dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi. her defasında bez sızdırdı. hatta sızdırmak bile denmez, resmen süzgeç gibi alta geçiriyor. nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi. her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik.  ",0
3,her yaptığı kaka olduğu gibi dışına cikiyor,0
4,hepsi burada çok hızlı sipariş verdim çabuk geldi ürün de kaliteli ,1
5,indirimdeyken aldim. hb sayesinde hizli olarak geldi. yapi itibari ile cok basit. daha iyisini kendiniz yapabilirsiniz. renk seçeneği yok kullandığınız hicbir esya ile uyum saglayacagini dusunmuyorum.,0
6,en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor. çok rahatsız edici. ayrıca ürün malzeme kalitesi de hiç güzel değil. i̇ade ettim. sıradan bir makine,0
7,yeniledik demişler ama mahvetmisler bezi. kalite sıfır. müthiş sızdırıyor.emicilik falan kalmamıs.2 kutu almıştım bir de....başka bez alacağım artık. tavsiye etmiyorum ! ,0
8,eğer fiyatı 5 tl olsaydı harika bir ürün diyebilirdim...,0
9,prima için yoruma gerek yok...kullanan bilir,1
10,en iyi fiyat en hizli gonderim,1
11,basarili,1
12,i̇ki yıldır kullanıyorum herhangi bir sorun yaşamadım.hepsiburada aracılığıyla hem toplu indirimle fiyatla alabiliyorum hemde taksitle ödeme şansı elde ediyorum.tesekkurler,1
13,inşallah bozulup yarı yolda bırakmaz bizi bir de duvara asmak için arkada 2 delik var nasıl asılacak onu da anlamadım ,0
14,"fiyat iyi, aldık bir sıkıntı yaşamadık. bebek de anne de memnun.",1
15,hızlı kargo güvenilir ilanda yazanın aynı ürün geldi teşekkürler,1
16,"yorumlarda herkes güzel ürün olduğundan bahsediyor, eyvallah ama bana gelen ürünü ilk kullanmamda alev alacaktı sanki . elle tutulmayacak kadar ısınmaya başlaması kötü bir deneyim.",0
17,hızlı teslimat. mükemmel ürün teşekkürler,1
18,ancak son siparişte fark ettik ki bezler değişmiş. çok kalitesiz olmuşlar.,0
19,kokusuz olduğu için almıştım. 4-5 kere farklı çamaşırlarla ve farklı miktarlar koyarak test ettim. kesinlikle normal deterjanla yıkanmış halinden farkı yok. hatta normal ölçüsünün 3 katı koyarak bile test ettim. hiçbir etkisi yok. denemek için beyazları ikiye bölüp bir bununla bir de çok bilinen bir markanın yumuşatıcısıyla yıkadım. arada dağlar kadar fark var. kesinlikle tavsiye etmiyorum. hiçbir etkisi olmayan bir ürüne para vermeyin.,0
20,3 adet almıştım hiç bir etkisi yok  farelere,0
21,ürün kabı orjinalde olması gereken jelatin kabında değil.ayrıca ürün kokusu senelerden beri kullandığım aynı marka parfüm ile çok farklı. daha keskin ve geniz yakıcı bir kokusu var selamlar...,0
22,hızlı kargo uygun fiyat teşekkürler,0
23,her zamanki gibi harikaaaa,1
24,20 gündür kullanıyorum. hala örümcek var hala örümcek var 2 tane kullanıyorum hemde :) sinekte oluyor.,0
25,yazma ve okuma hızları çok yavaş,0
26,asla para ile satmayınız ve bunun yerine yarar herhangi bir şey vermeniz daha anlamlı .. ,0
27,ürünü tavsi̇ye etmi̇yorum ! vasatin altinda !,0
28,kalite tartışılmaz.kampanyalı indirimde aldım.fiyat çok uygundu... indirimlerin devamını bekliyoruz...,1
29,normalde de prima kullanıyordum ama bu seferki biraz kokulu geldi benim bu daha çok hoşuma gitti eski bezleri primium care de vardı aktif bebekte vardı ama bunu daha çok sevdim sanırım serisi ve paketlemeye göre değişiyor ,1
30,primanın kalitesi konusunda tereddüt etmeye zaten gerek yok. hepsiburadaya da ayrıca teşekkürler..,1
31,yorumlara göre hareket ettim ama başarısız bi ürün etkisi olmadı,0
32,sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü 8 saat,0
33,ortalama bir ürün ve bu fiyata başka hiçbir yerde yok,1
34,prima gayet başarılı bir bez üretmiş 12 saate kadar kuru tutuyor hepsi buradadan almakla hem ürün hızlı geliyor hem de ekonomik....,1
35,çelik kısmı ince plastik süzgeç bağımsız hareket ediyor. plastik kapak yerine metal olsaydı daha iyiydi. plastik koku yapıyor daha iki kez kullandım,0
36,çok güzel uygun fiyat,1
37,"bezde bir yenilik yaptılar ardından geceleri sızdırma başladı. gündüzler tamam ama geceleri tavsiye etmiyorum, premium olanı kullanıyorıuz.",0
38,telefon geleli on gün oldu. kulaklık ahizesi bozuldu. yepyeni telefon servise gidecek. uzak durun. fiyatına aldanmayın.,0
39,"cildi hassas bebekleri için ideal, pişik yapmıyor ayrıca diğer bazı bezlerde olduğu gibi kötü bir parfüm kokusu gelmiyor.",1
40,fiyat kalite konusunda gayet iyi,1
41,"cok kotu ve kalitesiz. urunun kalici parcasi olan kilifini, ambalaji sandik ve yirttik, o derece kalitesiz (kilif olduguna inanamayacaginiz kadar basit bir malzeme). cocuklar icinden cikan malzemeyi (havuz makarnasi benzeri) ikiye boldu, oyuncak niyetine kullaniyor. hic degilse o ise yaradi. kapi altina havlu koyun daha iyi. hepsiburada'nin kendi sattigi urunlerden biri olmasi (alt magazalar harici) cok sasirtici. belirli bir kalite kriteri olmali. ""fiyatina paralel kalite"" aciklamasi bir yere kadar, bu urun o mertebenin altinda kaliyor.",0
42,"i̇yi ürün, ??",1
43,ürün elime zamanında ulaştı. üründen çok memnumun. kutu içerisinde çok fazla olması ekonomik açıdan çok iyi oluyor...,1
44,kullanan kisilerin yorumlarina inanarak siparis verdim..malesef sadece azcik bir yanma azcik bir uyusma disinda hicbir faydasini gormedim.yorumlarda 35-40 dakika yazmis birisi birak o kadari ben 5 dakikayada raziydim.sonuc hüsran...,0
45,.,1
46,"kaliteli ürün, hızlı teslimat ve memnun kızım. teşekkürler hepsiburada",1
47,eski söktüğüm vesteldi bundan çok da sağlammış ikisini söküp takınca çok net görülüyor,0
48,hiçbir etkisi yok..,0
49,"ürünü kirada oturduğum evde kullandım kırıldı, kiradan çıkarken de aynısını aldım. çok iyi değil ama idare eder.",0
50,fiyata göre iyi bir ürün,1
51,oglum 14 aylik ve dogdugundan beri prima kullaniyorum. cok memnunum. ilk kez int. aldim. bundan sonra da boyle olacak...tesekkurler hepsiburada.com,1
52,cok güzel ve kullanışlı bir ürün tavsiye ederim,1
53,"merhaba yorumları okuyarak almıştım ama tek korkum hatalı parçalardı , kurulumu  en sonunda borunun iki tanesinde delik bulunmuyordu büyük yıkım oldu benim için :) şuanda evde kurulumu eksikte olsa duruyor çamasırda astım paketleyip geri göndermek inanın eziyet gibi geldi ,, tekrar alırmıydım ..hayirrrrrr. bence bu ürün paketlenmeden önce parçaları tek tek kontrol edilmeli ",0
54,koku kalici degil,0
55,bence kaliteli ve ekonomik olması çok güzel hepsi burada ya teşekkürler ,1
56,"emeği geçen herkeze teşekkürler,güzel bir ürün.",1
